District,Block,Gram Panchayat,Village,Habitation,New Location,PWS Scheme Code,PWS Scheme Name,Latitude,Longitude,Sample Id,Fluoride (mg/l)in TW water sample ,Total Coliform (CFU/100ml) in TW water sample 
PURULIA,PARA,JABARRAH JHAPRA-II,RANIPUR,RANIPUR,NO,,,23.4738433,86.5498783,2011777,1.03,0
PURULIA,PARA,JABARRAH JHAPRA-II,RANIPUR,RANIPUR,NO,,,23.4721791,86.5500493,2011776,0.87,0
PURULIA,PARA,JABARRAH JHAPRA-II,BAGALIA,SUKHSENDIH,NO,,,23.4341094,86.5268072,2011768,0.76,0
PURULIA,PARA,JABARRAH JHAPRA-II,BAGALIA,DURGASINGDIH,NO,,,23.4333357,86.5383339,2011775,0.65,0
PURULIA,PARA,JABARRAH JHAPRA-II,BAGALIA,DURGASINGDIH,NO,,,23.4335931,86.5403676,2011773,0.59,0
PURULIA,PARA,JABARRAH JHAPRA-II,BAGALIA,DURGASINGDIH,NO,,,23.4333154,86.5390836,2011772,0.51,0
PURULIA,PARA,JABARRAH JHAPRA-II,BAGALIA,SUKHSENDIH,NO,,,23.4344333,86.5289667,2011770,0.41,0
PURULIA,PARA,JABARRAH JHAPRA-II,BAGALIA,DURGASINGDIH,NO,,,23.4323669,86.5421745,2011774,0.41,0
PURULIA,PARA,JABARRAH JHAPRA-II,BAGALIA,SUKHSENDIH,NO,,,23.4338333,86.5285174,2011769,0.32,0
PURULIA,PARA,JABARRAH JHAPRA-II,BAGALIA,DURGASINGDIH,NO,,,23.4334663,86.537472,2011771,0.26,0
PURULIA,MANBAZAR - I,GOPALNAGAR,JABLA,JABLA,NO,,,23.1387946,86.5661815,1052923,0.387,0
PURULIA,MANBAZAR - I,GOPALNAGAR,JABLA,JABLA,NO,SM/02831,MEKPUR AND ADJOINING MOUZASWATER SUPPLY SCHEME OF MALDAH UNDER ARWSP DURING 2009-2010,23.1468902,86.5688348,1052922,0.33,18
PURULIA,MANBAZAR - I,GOPALNAGAR,JABLA,JABLA,NO,,,23.1446758,86.568274,1052925,0.321,0
PURULIA,MANBAZAR - I,GOPALNAGAR,JABLA,JABLA,NO,SM/02831,MEKPUR AND ADJOINING MOUZASWATER SUPPLY SCHEME OF MALDAH UNDER ARWSP DURING 2009-2010,23.1422534,86.5669729,1052924,0.285,9
